gbifID,countryCode,acceptedScientificName,specificEpithet,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet.1,infraspecificEpithet,cultivarEpithet,speciesKey,identifier
1057214723,OM,"Praeradiolites subtoucasi Toucas, 1907",subtoucasi,Bivalvia,Hippuritida,,Radiolitidae,,,,Praeradiolites,Praeradiolites,,,subtoucasi,,,8643853.0,https://data.nhm.ac.uk/media/468fe481-707a-4f91-878b-9ec5bf71379d
1056390401,OM,"Glabrobournonia arabica N.Morris & Skelton, 1996",arabica,Bivalvia,Hippuritida,,Radiolitidae,,,,Glabrobournonia,Glabrobournonia,,,arabica,,,9067949.0,https://data.nhm.ac.uk/media/ce753c50-608b-4526-a41b-3d6510ec3363
1057606894,,"Dacrydium ockelmanni Mattson & Warén, 1977",ockelmanni,Bivalvia,Mytilida,,Mytilidae,,,,Dacrydium,Dacrydium,,,ockelmanni,,,5188824.0,https://data.nhm.ac.uk/media/7f9c99bf-d26d-4bb8-b8aa-5e39e7b7dc41
1057067224,,"Euglesa obtusalis (Lamarck, 1818)",obtusale,Bivalvia,Sphaeriida,,Sphaeriidae,,,,Euglesa,Pisidium,,,obtusale,,,8105832.0,https://data.nhm.ac.uk/media/b58b17ae-67c3-4deb-9bb3-47ba33844d0e
1056568912,TH,"Callocardia A.Adams, 1864",,Bivalvia,Venerida,,Veneridae,,,,Callocardia,Callocardia,,,,,,,https://data.nhm.ac.uk/media/03a56968-d3ad-492e-b897-94a3de7c7dda
1056086080,JP,"Glycymeris albolineata (Lischke, 1872)",albolineatus,Bivalvia,Arcida,,Glycymerididae,,,,Glycymeris,Pectunculus,,,albolineatus,,,6127111.0,https://data.nhm.ac.uk/media/719ab118-7562-4ca8-ad44-15d247de295b
1057561198,,"Ostrea stentina Payraudeau, 1826",guineensis,Bivalvia,Ostreida,,Ostreidae,,,,Ostrea,Ostrea,,,guineensis,,,5855429.0,https://data.nhm.ac.uk/media/70fe6f72-5bd1-44ea-9682-b90da5400539
1057332428,,"Ostrea stentina Payraudeau, 1826",guineensis,Bivalvia,Ostreida,,Ostreidae,,,,Ostrea,Ostrea,,,guineensis,,,5855429.0,https://data.nhm.ac.uk/media/93892dd9-5017-46ef-b8f1-5750f4a89430
1056114735,,"Pandora trilineata Say, 1822",trilineata,Bivalvia,,,Pandoridae,,,,Pandora,Pandora,,,trilineata,,,5189385.0,https://data.nhm.ac.uk/media/15a31205-cd4f-4ef0-8e79-119f3051b153
1056699958,,"Notocina falklandica (Dell, 1964)",falklandica,Bivalvia,Lucinida,,Lucinidae,,,,Notocina,Epicodakia,,,falklandica,,,10970891.0,https://data.nhm.ac.uk/media/c73e3759-c61a-4385-986f-99d37a57e261
